x,y
1.004727,0.844016
1.040807,0.862812
1.108237,0.894913
1.108356,0.894967
1.114532,0.897705
1.116139,0.898412
1.132955,0.905669
1.141073,0.909081
1.142736,0.909773
1.142758,0.909782
1.163081,0.918029
1.174276,0.922411
1.238929,0.945436
1.312401,0.966801
1.338147,0.973059
1.387242,0.983201
1.419557,0.988585
1.434662,0.990748
1.460926,0.993970
1.523434,0.998879
1.539764,0.999519
1.565852,0.999988
1.566668,0.999991
1.580325,0.999955
1.596050,0.999681
1.680104,0.994032
1.696405,0.992122
1.715646,0.989528
1.749602,0.984057
1.821789,0.968666
1.827980,0.967110
1.974697,0.919535
1.982750,0.916340
1.999838,0.909365
2.028444,0.897094
2.069585,0.878163
2.074994,0.875562
2.076090,0.875032
2.085464,0.870456
2.127382,0.849064
2.133367,0.845887
2.154544,0.834403
2.160016,0.831375
2.163058,0.829680
2.173933,0.823561
2.174416,0.823286
2.185519,0.816934
2.228275,0.791536
2.286063,0.754918
2.335405,0.721653
2.340646,0.718015
2.387811,0.684401
2.388375,0.683989
2.406341,0.670774
2.438949,0.646238
2.445008,0.641602
2.452141,0.636115
2.461267,0.629046
2.495292,0.602237
2.601800,0.513958
2.633439,0.486565
2.641566,0.479449
2.676738,0.448293
2.768675,0.364334
2.838479,0.298493
2.863394,0.274624
2.878722,0.259854
2.890187,0.248765
2.894564,0.244524
2.901060,0.238220
2.939307,0.200909
2.993354,0.147696
3.030445,0.110919
3.050492,0.090975
3.121735,0.019857
3.162619,-0.021025
3.265430,-0.123521
3.270148,-0.128202
3.293469,-0.151293
3.302449,-0.160163
3.323803,-0.181204
3.344968,-0.201976
3.351280,-0.208154
3.360340,-0.217007
3.369595,-0.226032
3.384121,-0.240158
3.407217,-0.262512
3.469843,-0.322388
3.520871,-0.370250
3.534674,-0.383037
3.571149,-0.416467
3.617289,-0.457958
3.631716,-0.470735
3.669918,-0.504088
3.683290,-0.515591
3.691769,-0.522838
3.692374,-0.523353
3.746594,-0.568763
3.852701,-0.652674
3.862376,-0.659973
3.875488,-0.669767
3.878086,-0.671695
3.903167,-0.690061
3.925067,-0.705745
3.939243,-0.715717
3.959829,-0.729942
3.960026,-0.730076
3.965421,-0.733752
3.966722,-0.734636
3.978866,-0.742820
3.984120,-0.746328
3.991309,-0.751093
3.997542,-0.755194
4.003856,-0.759317
4.016492,-0.767479
4.033544,-0.778299
4.058644,-0.793812
4.086725,-0.810574
4.098271,-0.817282
4.122976,-0.831267
4.157225,-0.849814
4.197723,-0.870457
4.226456,-0.884240
4.243017,-0.891853
4.246594,-0.893465
4.248184,-0.894178
4.288302,-0.911415
4.331828,-0.928456
4.354715,-0.936714
4.357734,-0.937766
4.364589,-0.940125
4.375574,-0.943812
4.419921,-0.957535
4.438345,-0.962684
4.529454,-0.983314
4.535126,-0.984330
4.548745,-0.986640
4.660994,-0.998680
4.734171,-0.999763
4.747762,-0.999374
4.751602,-0.999231
4.823259,-0.993860
4.842981,-0.991485
4.883937,-0.985322
4.944819,-0.973110
4.949607,-0.971996
4.969682,-0.967082
4.985742,-0.962871
4.990834,-0.961484
4.996477,-0.959918
